"id","age","sex","y"
"1","68","1","1"
"2","26","2","0"
"3","22","2","0"
"4","70","2","1"
"5","27","2","1"
"6","22","2","1"
"7","66","2","1"
"8","66","2","1"
"9","51","2","1"
"10","35","2","0"
"11","61","1","1"
"12","63","2","1"
"13","51","2","1"
"14","46","1","0"
"15","56","2","1"
"16","60","1","0"
"17","55","2","1"
"18","71","2","1"
"19","51","2","1"
"20","24","2","1"
"21","62","1","1"
"22","41","2","1"
"23","56","1","1"
"24","78","1","1"
"25","24","2","1"
"26","44","2","1"
"27","65","2","1"
"28","56","1","1"
"29","61","1","0"
"30","60","2","1"
"31","36","2","1"
"32","36","2","1"
"33","52","2","1"
"34","73","1","1"
"35","70","2","0"
"36","53","1","1"
"37","31","1","0"
"38","34","1","0"
"39","55","2","1"
"40","37","1","0"
"41","55","1","1"
"42","27","1","1"
"43","66","2","1"
"44","53","1","0"
"45","45","2","1"
"46","44","2","0"
"47","65","2","1"
"48","52","2","1"
"49","46","1","0"
"50","54","2","1"
"51","49","1","0"
"52","65","2","1"
"53","39","1","0"
"54","36","1","1"
"55","41","1","0"
"56","77","1","1"
"57","65","2","1"
"58","71","1","0"
"59","24","2","1"
"60","60","1","0"
"61","31","2","1"
"62","70","2","1"
"63","61","2","1"
"64","73","2","1"
"65","44","1","0"
"66","40","1","1"
"67","48","1","0"
"68","38","1","1"
"69","26","2","1"
"70","54","1","0"
"71","51","2","1"
"72","73","1","0"
"73","71","2","1"
"74","58","1","0"
"75","57","2","1"
"76","30","2","0"
"77","74","1","0"
"78","24","1","0"
"79","55","2","1"
"80","64","1","0"
"81","74","1","1"
"82","41","2","0"
"83","79","2","0"
"84","72","1","1"
"85","44","1","1"
"86","44","1","1"
"87","67","1","1"
"88","63","1","1"
"89","33","2","0"
"90","73","2","1"
"91","68","2","1"
"92","39","1","0"
"93","32","2","1"
"94","21","2","1"
"95","47","1","0"
"96","35","2","1"
"97","70","1","0"
"98","48","2","0"
"99","66","1","0"
"100","46","1","0"
"101","72","1","0"
"102","26","1","1"
"103","67","1","0"
"104","60","1","0"
"105","80","2","1"
"106","79","2","1"
"107","73","1","1"
"108","51","2","1"
"109","73","2","1"
"110","73","1","0"
"111","68","2","1"
"112","40","1","0"
"113","33","2","1"
"114","26","1","0"
"115","68","1","1"
"116","65","1","0"
"117","40","2","0"
"118","43","2","0"
"119","75","1","1"
"120","46","1","0"
"121","45","2","1"
"122","65","1","0"
"123","51","1","1"
"124","37","2","0"
"125","72","2","1"
"126","50","2","0"
"127","74","1","1"
"128","80","1","0"
"129","37","2","0"
"130","44","2","1"
"131","29","2","1"
"132","49","1","0"
"133","80","2","1"
"134","54","2","1"
"135","67","2","1"
"136","37","2","0"
"137","78","1","0"
"138","23","1","1"
"139","35","1","1"
"140","30","1","0"
"141","79","2","1"
"142","51","2","1"
"143","55","1","1"
"144","41","2","1"
"145","22","2","0"
"146","22","1","0"
"147","23","2","1"
"148","30","1","0"
"149","60","2","1"
"150","69","2","1"
"151","26","1","0"
"152","78","1","1"
"153","58","2","1"
"154","33","2","0"
"155","31","1","0"
"156","35","1","0"
"157","58","1","0"
"158","49","1","0"
"159","48","2","0"
"160","71","2","1"
"161","73","2","1"
"162","72","1","0"
"163","62","1","0"
"164","71","2","1"
"165","32","2","1"
"166","45","2","1"
"167","49","2","0"
"168","28","1","0"
"169","30","2","1"
"170","48","1","0"
"171","70","2","1"
"172","68","1","0"
"173","49","1","0"
"174","22","2","0"
"175","57","2","1"
"176","79","2","1"
"177","29","2","1"
"178","65","1","1"
"179","39","2","1"
"180","36","2","0"
"181","41","2","0"
"182","80","2","1"
"183","75","1","1"
"184","58","2","1"
"185","42","1","0"
"186","76","1","1"
"187","55","2","1"
"188","27","1","0"
"189","67","2","1"
"190","55","1","1"
"191","51","2","1"
"192","72","1","0"
"193","66","1","1"
"194","36","2","1"
"195","80","2","0"
"196","33","2","1"
"197","25","1","0"
"198","61","2","1"
"199","31","1","0"
"200","70","1","1"
"201","59","2","1"
"202","64","1","1"
"203","62","2","1"
"204","38","1","1"
"205","41","2","0"
"206","72","1","1"
"207","36","1","0"
"208","64","1","1"
"209","72","1","0"
"210","27","2","0"
"211","77","1","1"
"212","46","2","1"
"213","35","2","1"
"214","78","2","1"
"215","28","1","0"
"216","60","1","0"
"217","78","2","1"
"218","73","2","1"
"219","50","2","1"
"220","68","2","1"
"221","51","1","1"
"222","31","2","0"
"223","40","1","0"
"224","28","2","1"
"225","58","2","1"
"226","65","1","1"
"227","70","2","1"
"228","76","1","1"
"229","32","2","1"
"230","26","1","1"
"231","75","2","1"
"232","40","1","0"
"233","70","2","1"
"234","34","1","0"
"235","57","2","1"
"236","43","2","1"
"237","23","1","0"
"238","24","2","1"
"239","32","1","0"
"240","67","1","0"
"241","39","1","0"
"242","33","2","1"
"243","26","2","1"
"244","71","2","1"
"245","80","1","0"
"246","45","1","0"
"247","26","2","1"
"248","30","2","1"
"249","51","1","0"
"250","27","1","0"
"251","21","1","0"
"252","61","1","0"
"253","45","2","0"
"254","21","2","1"
"255","67","1","0"
"256","72","1","1"
"257","22","2","0"
"258","49","2","1"
"259","40","2","1"
"260","33","1","1"
"261","23","1","0"
"262","53","1","0"
"263","58","2","1"
"264","52","1","0"
"265","65","1","1"
"266","31","1","0"
"267","55","1","1"
"268","42","2","1"
"269","25","2","1"
"270","37","1","0"
"271","28","2","0"
"272","69","1","0"
"273","62","2","1"
"274","22","1","0"
"275","80","1","0"
"276","76","1","0"
"277","61","1","1"
"278","55","2","1"
"279","73","2","1"
"280","60","2","1"
"281","62","2","1"
"282","49","1","0"
"283","36","2","0"
"284","72","2","1"
"285","53","1","1"
"286","28","1","0"
"287","21","1","1"
"288","60","1","1"
"289","37","1","1"
"290","42","1","0"
"291","79","2","1"
"292","71","1","0"
"293","38","1","0"
"294","73","2","1"
"295","56","2","1"
"296","36","1","0"
"297","54","1","1"
"298","79","1","1"
"299","35","2","1"
"300","36","2","1"
"301","54","1","0"
"302","22","2","1"
"303","45","2","0"
"304","22","1","0"
"305","71","2","1"
"306","33","1","0"
"307","50","1","0"
"308","70","1","0"
"309","60","2","1"
"310","69","2","1"
"311","25","2","1"
"312","74","1","0"
"313","39","1","0"
"314","69","1","1"
"315","30","1","0"
"316","42","1","1"
"317","37","2","1"
"318","40","2","1"
"319","67","1","0"
"320","78","1","0"
"321","50","1","1"
"322","53","1","1"
"323","37","2","1"
"324","62","1","1"
"325","61","2","1"
"326","41","1","0"
"327","57","1","0"
"328","23","2","1"
"329","42","1","1"
"330","62","1","1"
"331","43","2","1"
"332","68","1","0"
"333","71","1","0"
"334","70","1","1"
"335","59","1","1"
"336","65","2","1"
"337","66","2","1"
"338","55","2","1"
"339","56","2","1"
"340","36","2","0"
"341","51","1","0"
"342","64","2","1"
"343","31","2","1"
"344","59","2","1"
"345","62","2","1"
"346","55","1","1"
"347","66","2","1"
"348","25","1","0"
"349","27","2","1"
"350","38","1","0"
"351","27","1","0"
"352","59","1","1"
"353","77","2","1"
"354","68","1","0"
"355","28","2","1"
"356","36","1","1"
"357","72","2","1"
"358","56","1","0"
"359","44","2","1"
"360","28","2","1"
"361","48","1","0"
"362","75","1","1"
"363","33","2","1"
"364","38","1","0"
"365","71","2","1"
"366","43","1","0"
"367","41","1","1"
"368","55","1","0"
"369","70","2","1"
"370","48","1","1"
"371","67","2","1"
"372","53","2","0"
"373","43","2","0"
"374","37","2","0"
"375","32","1","0"
"376","29","2","0"
"377","27","2","1"
"378","29","1","0"
"379","42","1","0"
"380","42","2","1"
"381","65","1","1"
"382","59","1","1"
"383","22","1","0"
"384","27","1","0"
"385","48","1","0"
"386","22","2","1"
"387","63","2","1"
"388","51","2","1"
"389","43","2","0"
"390","40","2","1"
"391","53","1","0"
"392","66","2","1"
"393","31","2","0"
"394","52","1","1"
"395","29","1","0"
"396","29","2","0"
"397","36","2","0"
"398","72","1","0"
"399","53","1","0"
"400","31","1","0"
"401","31","2","1"
"402","42","2","1"
"403","36","1","0"
"404","35","1","0"
"405","43","2","0"
"406","32","2","0"
"407","68","2","1"
"408","45","1","0"
"409","62","2","1"
"410","33","2","0"
"411","78","2","1"
"412","32","1","0"
"413","23","2","1"
"414","56","2","1"
"415","72","1","1"
"416","52","1","0"
"417","24","2","0"
"418","61","2","1"
"419","37","1","0"
"420","40","2","1"
"421","66","1","1"
"422","73","2","0"
"423","26","1","0"
"424","67","2","1"
"425","58","1","0"
"426","68","1","1"
"427","28","1","0"
"428","32","1","0"
"429","57","1","1"
"430","48","1","0"
"431","50","1","0"
"432","26","1","1"
"433","76","2","1"
"434","47","1","0"
"435","42","1","0"
"436","50","1","0"
"437","43","2","0"
"438","46","1","1"
"439","78","2","1"
"440","54","2","1"
"441","75","2","1"
"442","75","1","1"
"443","71","1","0"
"444","49","2","1"
"445","68","2","1"
"446","56","1","0"
"447","56","2","1"
"448","32","2","0"
"449","27","2","0"
"450","21","2","0"
"451","61","2","1"
"452","46","1","0"
"453","23","2","1"
"454","76","2","1"
"455","55","2","1"
"456","25","2","1"
"457","55","2","1"
"458","62","2","1"
"459","65","2","1"
"460","60","1","0"
"461","24","1","0"
"462","35","2","1"
"463","27","2","1"
"464","64","2","1"
"465","44","2","1"
"466","65","1","1"
"467","53","2","1"
"468","48","2","0"
"469","63","2","1"
"470","31","2","0"
"471","61","1","0"
"472","76","1","0"
"473","55","1","0"
"474","28","2","0"
"475","70","2","1"
"476","70","2","1"
"477","59","2","1"
"478","66","1","0"
"479","70","2","1"
"480","74","1","1"
"481","77","1","1"
"482","27","1","0"
"483","60","1","1"
"484","78","1","1"
"485","73","1","1"
"486","49","2","1"
"487","63","2","1"
"488","30","1","0"
"489","58","1","0"
"490","60","1","1"
"491","46","1","0"
"492","29","2","1"
"493","45","1","0"
"494","59","1","1"
"495","77","2","1"
"496","72","2","1"
"497","49","2","1"
"498","68","2","1"
"499","54","1","1"
"500","42","1","0"
"501","30","2","0"
"502","61","2","1"
"503","78","1","1"
"504","67","2","1"
"505","78","1","1"
"506","50","2","1"
"507","56","1","1"
"508","50","2","0"
"509","61","1","1"
"510","74","2","1"
"511","49","2","0"
"512","59","2","1"
"513","68","2","1"
"514","25","2","0"
"515","77","1","0"
"516","52","1","1"
"517","70","2","1"
"518","52","2","1"
"519","28","1","0"
"520","25","2","1"
"521","76","2","1"
"522","50","1","0"
"523","61","2","1"
"524","72","1","0"
"525","40","1","0"
"526","23","1","0"
"527","30","1","0"
"528","61","1","1"
"529","77","1","0"
"530","63","1","0"
"531","62","2","1"
"532","40","2","0"
"533","51","1","0"
"534","56","2","1"
"535","48","1","0"
"536","50","1","0"
"537","28","1","0"
"538","25","2","0"
"539","21","1","1"
"540","69","2","1"
"541","22","2","1"
"542","63","1","0"
"543","49","1","1"
"544","33","1","1"
"545","59","2","1"
"546","54","1","1"
"547","75","1","0"
"548","73","2","1"
"549","60","2","1"
"550","59","2","1"
"551","35","1","0"
"552","39","1","1"
"553","65","2","0"
"554","72","2","1"
"555","25","2","1"
"556","65","1","1"
"557","50","1","0"
"558","36","2","1"
"559","66","2","1"
"560","25","2","0"
"561","22","2","1"
"562","75","1","0"
"563","50","1","0"
"564","66","1","1"
"565","39","2","1"
"566","34","1","0"
"567","35","1","0"
"568","49","1","0"
"569","59","2","1"
"570","72","2","1"
"571","41","1","0"
"572","26","1","0"
"573","45","1","1"
"574","69","2","1"
"575","69","1","1"
"576","58","1","1"
"577","62","1","1"
"578","57","1","0"
"579","78","2","1"
"580","79","1","1"
"581","23","1","0"
"582","35","2","1"
"583","26","2","1"
"584","64","2","0"
"585","45","2","0"
"586","69","1","1"
"587","71","1","1"
"588","69","1","1"
"589","52","1","0"
"590","31","2","0"
"591","36","1","1"
"592","67","2","1"
"593","27","2","1"
"594","33","1","0"
"595","64","2","1"
"596","22","2","1"
"597","72","1","1"
"598","39","2","0"
"599","77","1","1"
"600","67","1","1"
"601","25","2","1"
"602","23","1","1"
"603","75","2","1"
"604","51","2","1"
"605","66","2","1"
"606","39","1","0"
"607","37","2","0"
"608","46","2","1"
"609","37","1","0"
"610","26","2","1"
"611","56","1","1"
"612","65","2","1"
"613","78","2","1"
"614","54","2","1"
"615","74","1","0"
"616","69","1","1"
"617","42","2","0"
"618","44","2","1"
"619","70","2","1"
"620","79","1","1"
"621","46","2","1"
"622","31","1","0"
"623","56","2","1"
"624","49","2","1"
"625","53","1","1"
"626","41","2","1"
"627","23","2","1"
"628","29","1","0"
"629","57","2","1"
"630","58","1","1"
"631","41","2","0"
"632","67","2","1"
"633","73","1","1"
"634","27","1","0"
"635","71","2","1"
"636","76","1","0"
"637","29","1","0"
"638","73","1","1"
"639","79","2","1"
"640","39","1","1"
"641","53","1","0"
"642","69","2","1"
"643","48","2","0"
"644","68","1","0"
"645","59","2","1"
"646","68","2","1"
"647","26","2","1"
"648","24","2","0"
"649","79","2","1"
"650","66","2","1"
"651","72","1","1"
"652","25","2","1"
"653","64","1","1"
"654","45","1","0"
"655","71","2","1"
"656","24","2","0"
"657","63","2","1"
"658","44","1","0"
"659","68","1","1"
"660","68","2","1"
"661","59","2","1"
"662","70","1","1"
"663","32","1","0"
"664","49","1","0"
"665","68","2","1"
"666","55","2","1"
"667","50","2","1"
"668","61","2","1"
"669","79","1","1"
"670","71","1","0"
"671","37","1","1"
"672","68","2","1"
"673","34","1","0"
"674","63","1","0"
"675","72","2","1"
"676","32","1","0"
"677","43","2","1"
"678","40","2","1"
"679","48","1","0"
"680","40","1","0"
"681","36","2","0"
"682","39","1","0"
"683","67","2","1"
"684","79","2","1"
"685","53","2","1"
"686","65","1","0"
"687","30","1","0"
"688","50","2","1"
"689","79","1","1"
"690","46","1","1"
"691","33","2","0"
"692","65","2","1"
"693","29","1","1"
"694","47","2","0"
"695","69","2","1"
"696","64","2","1"
"697","33","2","1"
"698","68","2","1"
"699","44","1","0"
"700","55","1","1"
"701","61","1","1"
"702","61","2","1"
"703","44","1","0"
"704","73","2","1"
"705","37","2","0"
"706","61","2","1"
"707","56","1","1"
"708","74","2","1"
"709","63","1","1"
"710","73","1","0"
"711","39","2","1"
"712","72","1","1"
"713","43","2","0"
"714","38","2","1"
"715","41","2","1"
"716","70","1","0"
"717","31","1","0"
"718","39","2","1"
"719","21","1","0"
"720","28","2","0"
"721","55","2","1"
"722","53","1","0"
